계,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원,비고,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
69,특정계층이용시설,회원이용시설,정은스카이빌아파트경로당,서울특별시 동대문구 답십리로69길 99 (장안동정은스카이빌아파트 101동),서울특별시 동대문구 장안동 327,,,,127.073868,37.576916,206525.1054,553043.4232
70,특정계층이용시설,회원이용시설,장안한신아파트경로당,서울특별시 동대문구 사가정로 245-3 (한신아파트102동),서울특별시 동대문구 장안동 555-1,,,,127.071914,37.579527,206352.2776,553333.0803
71,특정계층이용시설,회원이용시설,래미안장안2차아파트경로당,서울특별시 동대문구 장안벚꽃로 167 (래미안장안2차아파트분산상가2동),서울특별시 동대문구 장안동 329-3,,,,127.075387,37.573964,206659.5486,552715.8918
72,공공시설,공공청사,장안2동주민센터,서울특별시 동대문구 사가정로 230-1,서울특별시 동대문구 장안동 286-3,180.3,54,,127.070595,37.578487,206235.8549,553217.5639
73,특정계층이용시설,회원이용시설,장평경로당,서울특별시 동대문구 한천로28길 27,서울특별시 동대문구 장안동 143-26,181.4,54,,127.068429,37.573291,206044.946,552640.7261
74,특정계층이용시설,회원이용시설,근린경로당,서울특별시 동대문구 장한로 191,서울특별시 동대문구 장안동 300,118.8,36,,127.071229,37.577136,206291.9716,553067.6607
75,특정계층이용시설,회원이용시설,늘봄경로당,서울특별시 동대문구 장한로26나길 6,서울특별시 동대문구 장안동 343,220.3,66,,127.072576,37.571309,206411.4576,552421.022
76,공공시설,복지?문화?체육시설,동대문구정보화도서관,서울특별시 동대문구 회기로10길 60  (청량리동),서울특별시 동대문구 청량리동 206-19,"3,094.00",250,,127.0470868,37.5896924,204158.686,554459.9354
77,특정계층이용시설,회원이용시설,청량현대아파트경로당,서울특별시 동대문구 약령시로21길 30 (현대아파트4동),서울특별시 동대문구 청량리동 234-2,,,,127.04635,37.584977,204093.8703,553936.5469
78,특정계층이용시설,회원이용시설,홍릉동부센트레빌아파트경로당,서울특별시 동대문구 홍릉로10길 48 (홍릉동부아파트),서울특별시 동대문구 청량리동 212,,,,127.046192,37.586131,204079.852,554064.621
79,특정계층이용시설,회원이용시설,청량리미주아파트경로당,서울특별시 동대문구 약령시로 154 (미주아파트),서울특별시 동대문구 청량리동 235-11,,,,127.045692,37.582363,204035.8935,553646.3942
80,특정계층이용시설,회원이용시설,홍릉경로당,서울특별시 동대문구 제기로23길 10 (청량리동),서울특별시 동대문구 청량리동 203-286,59.4,18,,127.0427737,37.5872027,203777.8806,554183.4246
81,특정계층이용시설,회원이용시설,청량한신아파트경로당,"서울특별시 동대문구 제기로 129 (청량리동, 한신아파트)",서울특별시 동대문구 청량리동 59,148.5,45,,127.0477545,37.5877319,204217.7676,554242.3718
82,공공시설,공공청사,청량리동주민센터,서울특별시 동대문구 왕산로 239 (청량리동),서울특별시 동대문구 청량리동 235-6,159.7,20,,127.0483875,37.583177,204273.9357,553736.8581
83,특정계층이용시설,회원이용시설,홍릉동부아파트제2경로당,"서울특별시 동대문구 제기로26길 26 (청량리동, 동부센트레빌아파트)",서울특별시 동대문구 청량리동 213,57.6,17,,127.0450777,37.5853472,203981.4745,553977.5802
84,특정계층이용시설,기타,시립동대문노인종합복지관,서울특별시 동대문구 제기로33길 25,서울특별시 동대문구 청량리동 11-1,96,25,,127.049906,37.587182,204407.8245,554181.4379
85,특정계층이용시설,회원이용시설,청량경로당,서울특별시 동대문구 왕산로43다길 5 (청량리동),서울특별시 동대문구 청량리동 57-6,290.6,88,,127.0472583,37.5862632,204174.0242,554079.3405
86,공공시설,공공청사,회기동주민센터,서울특별시 동대문구 회기로25길 12-1 (회기동),서울특별시 동대문구 회기동 347-9,593,15,,127.0553551,37.5907989,204888.8663,554583.1426
87,특정계층이용시설,회원이용시설,회기동경로당,서울특별시 동대문구 이문로3길 54,서울특별시 동대문구 회기동 64-17,148.5,45,,127.052038,37.590711,204595.9112,554573.2192
88,특정계층이용시설,회원이용시설,휘경SK뷰아파트경로당,서울특별시 동대문구 휘경로 60 (휘경에스케이뷰),서울특별시 동대문구 휘경동 372,,,,127.066174,37.593619,205844.1524,554896.7603
89,특정계층이용시설,회원이용시설,휘경롯데낙천대아파트경로당,서울특별시 동대문구 외대역동로1길 24 (휘경동롯데낙천대아파트 101동),서울특별시 동대문구 휘경동 109,,,,127.06438,37.591974,205685.8405,554714.0736
90,특정계층이용시설,회원이용시설,휘경롯데1차아파트경로당,서울특별시 동대문구 망우로 95 (휘경동롯데아파트상가동),서울특별시 동대문구 휘경동 78,,,,127.063378,37.590993,205597.4205,554605.1334
91,특정계층이용시설,회원이용시설,동양아파트경로당,서울특별시 동대문구 망우로 135 (휘경동동양아파트101동),서울특별시 동대문구 휘경동 115,,,,127.067695,37.592586,205978.562,554782.2046
